Pfam_ID	CDI_count	CDI_all	CTR_count	CTR_all	CDI_prop	CTR_prop	fold_change	p_fisher	p_chi2	p_adjusted_fisher	p_adjusted_chi2
pfam10439	6	4012	0	1769	0.0014955134596211	0.0	inf	0.1868284040825352	0.2363397501999684	1.0	1.0
pfam10458	1	4012	0	1769	0.0002492522432701	0.0	inf	1.0	1.0	1.0	1.0
pfam05137	1	4012	0	1769	0.0002492522432701	0.0	inf	1.0	1.0	1.0	1.0
pfam10437	3	4012	0	1769	0.0007477567298105	0.0	inf	0.5577384621858994	0.600393309991738	1.0	1.0
pfam00545	6	4012	1	1769	0.0014955134596211	0.0005652911249293	2.645563310069791	0.6832558985951522	0.5982706483275138	1.0	1.0
pfam14903	2	4012	0	1769	0.0004985044865403	0.0	inf	1.0	0.8635224768065944	1.0	1.0
pfam07683	1	4012	0	1769	0.0002492522432701	0.0	inf	1.0	1.0	1.0	1.0
pfam13855	1	4012	1	1769	0.0002492522432701	0.0005652911249293	0.4409272183449651	0.5184041026893373	1.0	1.0	1.0
pfam13269	2	4012	0	1769	0.0004985044865403	0.0	inf	1.0	0.8635224768065944	1.0	1.0
pfam13699	1	4012	1	1769	0.0002492522432701	0.0005652911249293	0.4409272183449651	0.5184041026893373	1.0	1.0	1.0
pfam14414	5	4012	4	1769	0.0012462612163509	0.0022611644997173	0.5511590229312064	0.4693967925590399	0.5891901395452586	1.0	1.0
pfam13370	2	4012	0	1769	0.0004985044865403	0.0	inf	1.0	0.8635224768065944	1.0	1.0
pfam07007	4	4012	3	1769	0.0009970089730807	0.001695873374788	0.5879029577932867	0.4439660014742578	0.7689193499173996	1.0	1.0
pfam09626	1	4012	0	1769	0.0002492522432701	0.0	inf	1.0	1.0	1.0	1.0
pfam04324	3	4012	1	1769	0.0007477567298105	0.0005652911249293	1.3227816550348954	1.0	1.0	1.0	1.0
pfam07116	1	4012	0	1769	0.0002492522432701	0.0	inf	1.0	1.0	1.0	1.0
pfam17965	1	4012	0	1769	0.0002492522432701	0.0	inf	1.0	1.0	1.0	1.0
pfam18649	4	4012	0	1769	0.0009970089730807	0.0	inf	0.3201000657857301	0.4319727410943237	1.0	1.0
pfam00391	4	4012	2	1769	0.0009970089730807	0.0011305822498586	0.8818544366899302	1.0	1.0	1.0	1.0
pfam08946	3	4012	0	1769	0.0007477567298105	0.0	inf	0.5577384621858994	0.600393309991738	1.0	1.0
pfam11734	6	4012	0	1769	0.0014955134596211	0.0	inf	0.1868284040825352	0.2363397501999684	1.0	1.0
pfam16387	2	4012	3	1769	0.0004985044865403	0.001695873374788	0.2939514788966433	0.1710205692525082	0.3463293500150508	1.0	1.0
pfam10417	2	4012	0	1769	0.0004985044865403	0.0	inf	1.0	0.8635224768065944	1.0	1.0
pfam11589	5	4012	0	1769	0.0012462612163509	0.0	inf	0.331884368197978	0.3173062609741834	1.0	1.0
pfam19087	2	4012	0	1769	0.0004985044865403	0.0	inf	1.0	0.8635224768065944	1.0	1.0
pfam17801	1	4012	0	1769	0.0002492522432701	0.0	inf	1.0	1.0	1.0	1.0
pfam09154	4	4012	1	1769	0.0009970089730807	0.0005652911249293	1.7637088733798605	1.0	0.9767546225839944	1.0	1.0
pfam17866	4	4012	2	1769	0.0009970089730807	0.0011305822498586	0.8818544366899302	1.0	1.0	1.0	1.0
pfam18998	1	4012	1	1769	0.0002492522432701	0.0005652911249293	0.4409272183449651	0.5184041026893373	1.0	1.0	1.0
pfam14208	1	4012	1	1769	0.0002492522432701	0.0005652911249293	0.4409272183449651	0.5184041026893373	1.0	1.0	1.0
pfam02839	1	4012	0	1769	0.0002492522432701	0.0	inf	1.0	1.0	1.0	1.0
pfam02368	1	4012	1	1769	0.0002492522432701	0.0005652911249293	0.4409272183449651	0.5184041026893373	1.0	1.0	1.0
pfam05480	8	4012	0	1769	0.0019940179461615	0.0	inf	0.1163279760346897	0.1347650004356275	1.0	1.0
pfam16112	1	4012	2	1769	0.0002492522432701	0.0011305822498586	0.2204636091724825	0.2235630774799369	0.4657955484406455	1.0	1.0
pfam19910	2	4012	1	1769	0.0004985044865403	0.0005652911249293	0.8818544366899302	1.0	1.0	1.0	1.0
